2021/3/28 6:8:18, Estado: Cerrado, Temperatura: 39.0°C, Presión: 0.74 Atm , Humedad: 0.46 %, Temperatura >= 100 :No, Presión >= 5 :No
2021/3/28 6:8:19, Estado: Cerrado, Temperatura: 39.0°C, Presión: 0.74 Atm , Humedad: 0.46 %, Temperatura >= 100 :No, Presión >= 5 :No
2021/3/28 6:8:20, Estado: Cerrado, Temperatura: 39.0°C, Presión: 0.74 Atm , Humedad: 0.46 %, Temperatura >= 100 :No, Presión >= 5 :No
2021/3/28 6:8:21, Estado: Cerrado, Temperatura: 39.0°C, Presión: 0.74 Atm , Humedad: 0.46 %, Temperatura >= 100 :No, Presión >= 5 :No
2021/3/28 6:8:22, Estado: Cerrado, Temperatura: 39.0°C, Presión: 0.74 Atm , Humedad: 0.46 %, Temperatura >= 100 :No, Presión >= 5 :No
2021/3/28 6:8:23, Estado: Cerrado, Temperatura: 101.0°C, Presión: 0.74 Atm , Humedad: 0.46 %, Temperatura >= 100 :Si, Presión >= 5 :No
2021/3/28 6:8:24, Estado: Cerrado, Temperatura: 101.0°C, Presión: 0.74 Atm , Humedad: 0.46 %, Temperatura >= 100 :Si, Presión >= 5 :No
2021/3/28 6:8:25, Estado: Cerrado, Temperatura: 101.0°C, Presión: 0.74 Atm , Humedad: 0.46 %, Temperatura >= 100 :Si, Presión >= 5 :No
2021/3/28 6:8:26, Estado: Cerrado, Temperatura: 101.0°C, Presión: 0.74 Atm , Humedad: 0.46 %, Temperatura >= 100 :Si, Presión >= 5 :No
2021/3/28 6:8:27, Estado: Cerrado, Temperatura: 101.0°C, Presión: 0.74 Atm , Humedad: 0.46 %, Temperatura >= 100 :Si, Presión >= 5 :No
2021/3/28 6:8:28, Estado: Cerrado, Temperatura: 101.0°C, Presión: 6.0 Atm , Humedad: 0.46 %, Temperatura >= 100 :Si, Presión >= 5 :Si
2021/3/28 6:8:29, Estado: Cerrado, Temperatura: 101.0°C, Presión: 6.0 Atm , Humedad: 0.46 %, Temperatura >= 100 :Si, Presión >= 5 :Si
2021/3/28 6:8:30, Estado: Cerrado, Temperatura: 101.0°C, Presión: 6.0 Atm , Humedad: 0.46 %, Temperatura >= 100 :Si, Presión >= 5 :Si
2021/3/28 6:8:31, Estado: Cerrado, Temperatura: 101.0°C, Presión: 6.0 Atm , Humedad: 1.0 %, Temperatura >= 100 :Si, Presión >= 5 :Si
2021/3/28 6:8:32, Estado: Cerrado, Temperatura: 101.0°C, Presión: 6.0 Atm , Humedad: 1.0 %, Temperatura >= 100 :Si, Presión >= 5 :Si
2021/3/28 6:8:33, Estado: Cerrado, Temperatura: 101.0°C, Presión: 6.0 Atm , Humedad: 1.0 %, Temperatura >= 100 :Si, Presión >= 5 :Si
2021/3/28 6:8:34, Estado: Cerrado, Temperatura: 101.0°C, Presión: 3.0 Atm , Humedad: 1.0 %, Temperatura >= 100 :Si, Presión >= 5 :No
2021/3/28 6:8:35, Estado: Cerrado, Temperatura: 101.0°C, Presión: 3.0 Atm , Humedad: 1.0 %, Temperatura >= 100 :Si, Presión >= 5 :No
2021/3/28 6:8:36, Estado: Cerrado, Temperatura: 101.0°C, Presión: 3.0 Atm , Humedad: 1.0 %, Temperatura >= 100 :Si, Presión >= 5 :No
2021/3/28 6:8:37, Estado: Cerrado, Temperatura: 101.0°C, Presión: 3.0 Atm , Humedad: 1.0 %, Temperatura >= 100 :Si, Presión >= 5 :No
2021/3/28 6:8:38, Estado: Cerrado, Temperatura: 101.0°C, Presión: 3.0 Atm , Humedad: 1.0 %, Temperatura >= 100 :Si, Presión >= 5 :No
2021/3/28 6:8:39, Estado: Cerrado, Temperatura: 90.0°C, Presión: 3.0 Atm , Humedad: 1.0 %, Temperatura >= 100 :No, Presión >= 5 :No
2021/3/28 6:8:40, Estado: Cerrado, Temperatura: 90.0°C, Presión: 3.0 Atm , Humedad: 1.0 %, Temperatura >= 100 :No, Presión >= 5 :No
2021/3/28 6:8:41, Estado: Cerrado, Temperatura: 90.0°C, Presión: 3.0 Atm , Humedad: 1.0 %, Temperatura >= 100 :No, Presión >= 5 :No
2021/3/28 6:8:42, Estado: Cerrado, Temperatura: 90.0°C, Presión: 3.0 Atm , Humedad: 1.0 %, Temperatura >= 100 :No, Presión >= 5 :No
2021/3/28 6:8:43, Estado: Cerrado, Temperatura: 90.0°C, Presión: 3.0 Atm , Humedad: 1.0 %, Temperatura >= 100 :No, Presión >= 5 :No
2021/3/28 6:8:44, Estado: Cerrado, Temperatura: 90.0°C, Presión: 3.0 Atm , Humedad: 1.0 %, Temperatura >= 100 :No, Presión >= 5 :No
2021/3/28 6:8:45, Estado: Cerrado, Temperatura: 90.0°C, Presión: 3.0 Atm , Humedad: 1.0 %, Temperatura >= 100 :No, Presión >= 5 :No
2021/3/28 6:9:23, Estado: Cerrado, Temperatura: 16°C, Presión: 0.74 Atm , Humedad: 0.46 %, Temperatura >= 100 :No, Presión >= 5 :No
2021/3/28 6:9:24, Estado: Cerrado, Temperatura: 16°C, Presión: 0.74 Atm , Humedad: 0.46 %, Temperatura >= 100 :No, Presión >= 5 :No
2021/3/28 6:9:25, Estado: Abierto, Temperatura: 16°C, Presión: 0.74 Atm , Humedad: 0.46 %, Temperatura >= 100 :No, Presión >= 5 :No
2021/3/28 6:9:26, Estado: Cerrado, Temperatura: 16°C, Presión: 0.74 Atm , Humedad: 0.46 %, Temperatura >= 100 :No, Presión >= 5 :No
2021/3/28 6:9:27, Estado: Cerrado, Temperatura: 16°C, Presión: 0.74 Atm , Humedad: 0.46 %, Temperatura >= 100 :No, Presión >= 5 :No
2021/3/28 6:9:28, Estado: Cerrado, Temperatura: 16°C, Presión: 0.74 Atm , Humedad: 0.46 %, Temperatura >= 100 :No, Presión >= 5 :No
2021/3/28 6:9:29, Estado: Cerrado, Temperatura: 16°C, Presión: 0.74 Atm , Humedad: 0.46 %, Temperatura >= 100 :No, Presión >= 5 :No
2021/3/28 6:9:30, Estado: Cerrado, Temperatura: 16°C, Presión: 0.74 Atm , Humedad: 0.46 %, Temperatura >= 100 :No, Presión >= 5 :No
2021/3/28 6:9:31, Estado: Cerrado, Temperatura: 120.0°C, Presión: 0.74 Atm , Humedad: 0.46 %, Temperatura >= 100 :Si, Presión >= 5 :No
2021/3/28 6:9:32, Estado: Cerrado, Temperatura: 120.0°C, Presión: 0.74 Atm , Humedad: 0.46 %, Temperatura >= 100 :Si, Presión >= 5 :No
2021/3/28 6:9:33, Estado: Cerrado, Temperatura: 120.0°C, Presión: 0.74 Atm , Humedad: 0.46 %, Temperatura >= 100 :Si, Presión >= 5 :No
2021/3/28 6:9:34, Estado: Cerrado, Temperatura: 120.0°C, Presión: 0.74 Atm , Humedad: 0.46 %, Temperatura >= 100 :Si, Presión >= 5 :No
2021/3/28 6:9:35, Estado: Cerrado, Temperatura: 100.0°C, Presión: 0.74 Atm , Humedad: 0.46 %, Temperatura >= 100 :No, Presión >= 5 :No
2021/3/28 6:9:36, Estado: Cerrado, Temperatura: 100.0°C, Presión: 0.74 Atm , Humedad: 0.46 %, Temperatura >= 100 :No, Presión >= 5 :No
2021/3/28 6:9:37, Estado: Cerrado, Temperatura: 100.0°C, Presión: 0.74 Atm , Humedad: 0.46 %, Temperatura >= 100 :No, Presión >= 5 :No
2021/3/28 6:9:38, Estado: Cerrado, Temperatura: 100.0°C, Presión: 0.74 Atm , Humedad: 0.46 %, Temperatura >= 100 :No, Presión >= 5 :No
2021/3/28 6:9:39, Estado: Cerrado, Temperatura: 100.0°C, Presión: 0.74 Atm , Humedad: 0.46 %, Temperatura >= 100 :No, Presión >= 5 :No
2021/3/28 6:9:40, Estado: Cerrado, Temperatura: 100.0°C, Presión: 0.74 Atm , Humedad: 0.46 %, Temperatura >= 100 :No, Presión >= 5 :No
2021/3/28 6:9:41, Estado: Cerrado, Temperatura: 100.0°C, Presión: 0.74 Atm , Humedad: 0.46 %, Temperatura >= 100 :No, Presión >= 5 :No
2021/3/28 6:9:42, Estado: Cerrado, Temperatura: 100.0°C, Presión: 0.74 Atm , Humedad: 0.46 %, Temperatura >= 100 :No, Presión >= 5 :No
2021/3/28 6:9:43, Estado: Cerrado, Temperatura: 23.0°C, Presión: 0.74 Atm , Humedad: 0.46 %, Temperatura >= 100 :No, Presión >= 5 :No
2021/3/28 6:9:44, Estado: Cerrado, Temperatura: 23.0°C, Presión: 0.74 Atm , Humedad: 0.46 %, Temperatura >= 100 :No, Presión >= 5 :No
2021/3/28 6:10:30, Estado: Cerrado, Temperatura: 16°C, Presión: 0.74 Atm , Humedad: 0.46 %, Temperatura >= 100 :No, Presión >= 5 :No
2021/3/28 6:10:31, Estado: Abierto, Temperatura: 16°C, Presión: 0.74 Atm , Humedad: 0.46 %, Temperatura >= 100 :No, Presión >= 5 :No
2021/3/28 6:10:32, Estado: Abierto, Temperatura: 16°C, Presión: 0.74 Atm , Humedad: 0.46 %, Temperatura >= 100 :No, Presión >= 5 :No
2021/3/28 6:10:33, Estado: Abierto, Temperatura: 16°C, Presión: 0.74 Atm , Humedad: 0.46 %, Temperatura >= 100 :No, Presión >= 5 :No
2021/3/28 6:10:34, Estado: Abierto, Temperatura: 16°C, Presión: 0.74 Atm , Humedad: 0.46 %, Temperatura >= 100 :No, Presión >= 5 :No
2021/3/28 6:10:35, Estado: Abierto, Temperatura: 16°C, Presión: 0.74 Atm , Humedad: 0.46 %, Temperatura >= 100 :No, Presión >= 5 :No
